postgres_db  | 
kafka         | [2025-05-31 02:56:00,602] INFO [BrokerLifecycleManager id=1] Incarnation KFOVweABQEuev5BRElHZ8A of broker 1 in cluster LKx3fGxNSsmDZh6L9a5svA is now STARTING. (kafka.server.BrokerLifecycleManager)
kafka         | [2025-05-31 02:56:00,627] INFO [ExpirationReaper-1-AlterAcls]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka         | [2025-05-31 02:56:00,646] INFO [BrokerServer id=1] Waiting for the broker metadata publishers to be installed (kafka.server.BrokerServer)
kafka         | [2025-05-31 02:56:00,647] INFO [BrokerServer id=1] Finished waiting for the broker metadata publishers to be installed (kafka.server.BrokerServer)
kafka         | [2025-05-31 02:56:00,647] INFO [BrokerServer id=1] Waiting for the controller to acknowledge that we are caught up (kafka.server.BrokerServer)
kafka         | [2025-05-31 02:56:00,647] INFO [MetadataLoader id=1] InitializeNewPublishers: initializing BrokerMetadataPublisher with a snapshot at offset 2 (org.apache.kafka.image.loader.MetadataLoader)
kafka         | [2025-05-31 02:56:00,647] INFO [BrokerMetadataPublisher id=1] Publishing initial metadata at offset OffsetAndEpoch(offset=2, epoch=1) with metadata.version 3.5-IV2. (kafka.server.metadata.BrokerMetadataPublisher)
kafka         | [2025-05-31 02:56:00,648] INFO Loading logs from log dirs ArraySeq(/tmp/kraft-combined-logs) (kafka.log.LogManager)
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.725+00:00"},"s":"I",  "c":"CONTROL",  "id":51765,   "ctx":"initandlisten","msg":"Operating System","attr":{"os":{"name":"Ubuntu","version":"20.04"}}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.725+00:00"},"s":"I",  "c":"CONTROL",  "id":21951,   "ctx":"initandlisten","msg":"Options set by command line","attr":{"options":{"net":{"bindIp":"*"}}}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.729+00:00"},"s":"I",  "c":"STORAGE",  "id":22270,   "ctx":"initandlisten","msg":"Storage engine to use detected by data files","attr":{"dbpath":"/data/db","storageEngine":"wiredTiger"}}
kafka         | [2025-05-31 02:56:00,658] INFO No logs found to be loaded in /tmp/kraft-combined-logs (kafka.log.LogManager)
kafka         | [2025-05-31 02:56:00,663] INFO Loaded 0 logs in 14ms (kafka.log.LogManager)
kafka         | [2025-05-31 02:56:00,663] INFO Starting log cleanup with a period of 300000 ms. (kafka.log.LogManager)
kafka         | [2025-05-31 02:56:00,665] INFO Starting log flusher with a default period of 9223372036854775807 ms. (kafka.log.LogManager)
kafka         | [2025-05-31 02:56:00,677] INFO Starting the log cleaner (kafka.log.LogCleaner)
kafka         | [2025-05-31 02:56:00,686] INFO [QuorumController id=1] Registered new broker: RegisterBrokerRecord(brokerId=1, isMigratingZkBroker=false, incarnationId=KFOVweABQEuev5BRElHZ8A, brokerEpoch=3, endPoints=[BrokerEndpoint(name='PLAINTEXT', host='kafka', port=9092, securityProtocol=0)], features=[BrokerFeature(name='metadata.version', minSupportedVersion=1, maxSupportedVersion=11)], rack=null, fenced=true, inControlledShutdown=false) (org.apache.kafka.controller.ClusterControlManager)
kafka         | [2025-05-31 02:56:00,715] INFO [BrokerLifecycleManager id=1] Successfully registered broker 1 with broker epoch 3 (kafka.server.BrokerLifecycleManager)
kafka         | [2025-05-31 02:56:00,869] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner$CleanerThread)
kafka         | [2025-05-31 02:56:00,873] INFO [LogDirFailureHandler]: Starting (kafka.server.ReplicaManager$LogDirFailureHandler)
kafka         | [2025-05-31 02:56:00,874] INFO [GroupCoordinator 1]: Starting up. (kafka.coordinator.group.GroupCoordinator)
kafka         | [2025-05-31 02:56:00,876] INFO [GroupCoordinator 1]: Startup complete. (kafka.coordinator.group.GroupCoordinator)
kafka         | [2025-05-31 02:56:00,878] INFO [TransactionCoordinator id=1] Starting up. (kafka.coordinator.transaction.TransactionCoordinator)
kafka         | [2025-05-31 02:56:00,879] INFO [TxnMarkerSenderThread-1]: Starting (kafka.coordinator.transaction.TransactionMarkerChannelManager)
kafka         | [2025-05-31 02:56:00,879] INFO [TransactionCoordinator id=1] Startup complete. (kafka.coordinator.transaction.TransactionCoordinator)
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.729+00:00"},"s":"I",  "c":"STORAGE",  "id":22297,   "ctx":"initandlisten","msg":"Using the XFS filesystem is strongly recommended with the WiredTiger storage engine. See http://dochub.mongodb.org/core/prodnotes-filesystem","tags":["startupWarnings"]}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:47.729+00:00"},"s":"I",  "c":"STORAGE",  "id":22315,   "ctx":"initandlisten","msg":"Opening WiredTiger","attr":{"config":"create,cache_size=3445M,session_max=33000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),builtin_extension_config=(zstd=(compression_level=6)),file_manager=(close_idle_time=600,close_scan_interval=10,close_handle_minimum=2000),statistics_log=(wait=0),verbose=[recovery_progress,checkpoint_progress,compact_progress],"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:48.084+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660808:84339][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_PROGRESS] Recovering log 58 through 59"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:48.662+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660808:662637][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_PROGRESS] Recovering log 59 through 59"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.167+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660809:167302][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_ALL] Main recovery loop: starting at 58/16896 to 59/256"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.225+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660809:225729][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_PROGRESS] Recovering log 58 through 59"}}
cache         | 1:M 31 May 2025 02:42:31.786 # Redis is now ready to exit, bye bye...
cache         | 1:C 31 May 2025 02:43:37.297 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.285+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660809:285165][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_PROGRESS] Recovering log 59 through 59"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.312+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660809:312957][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_PROGRESS] recovery log replay has successfully finished and ran for 1230 milliseconds"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.313+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660809:313053][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_ALL] Set global recovery timestamp: (0, 0)"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.313+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660809:313066][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_ALL] Set global oldest timestamp: (0, 0)"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.313+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660809:313464][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_PROGRESS] recovery rollback to stable has successfully finished and ran for 0 milliseconds"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.317+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660809:317947][1:0x7906cba83c80], WT_SESSION.checkpoint: [WT_VERB_CHECKPOINT_PROGRESS] saving checkpoint snapshot min: 1, snapshot max: 1 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 2032"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.331+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660809:331205][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_PROGRESS] recovery checkpoint has successfully finished and ran for 17 milliseconds"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.331+00:00"},"s":"I",  "c":"STORAGE",  "id":22430,   "ctx":"initandlisten","msg":"WiredTiger message","attr":{"message":"[1748660809:331328][1:0x7906cba83c80], txn-recover: [WT_VERB_RECOVERY_PROGRESS] recovery was completed successfully and took 1248ms, including 1230ms for the log replay, 0ms for the rollback to stable, and 17ms for the checkpoint."}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.334+00:00"},"s":"I",  "c":"STORAGE",  "id":4795906, "ctx":"initandlisten","msg":"WiredTiger opened","attr":{"durationMillis":1605}}
kafka         | [2025-05-31 02:56:00,880] INFO [BrokerMetadataPublisher id=1] Updating metadata.version to 11 at offset OffsetAndEpoch(offset=2, epoch=1). (kafka.server.metadata.BrokerMetadataPublisher)
kafka         | [2025-05-31 02:56:00,900] INFO [BrokerLifecycleManager id=1] The broker has caught up. Transitioning from STARTING to RECOVERY. (kafka.server.BrokerLifecycleManager)
kafka         | [2025-05-31 02:56:00,900] INFO [BrokerServer id=1] Finished waiting for the controller to acknowledge that we are caught up (kafka.server.BrokerServer)
kafka         | [2025-05-31 02:56:00,900] INFO [BrokerServer id=1] Waiting for the initial broker metadata update to be published (kafka.server.BrokerServer)
kafka         | [2025-05-31 02:56:00,900] INFO [BrokerServer id=1] Finished waiting for the initial broker metadata update to be published (kafka.server.BrokerServer)
kafka         | [2025-05-31 02:56:00,902] INFO KafkaConfig values: 
kafka         | 	advertised.listeners = PLAINTEXT://kafka:9092
kafka         | 	alter.config.policy.class.name = null
kafka         | 	alter.log.dirs.replication.quota.window.num = 11
kafka         | 	alter.log.dirs.replication.quota.window.size.seconds = 1
cache         | 1:C 31 May 2025 02:43:37.297 * Redis version=7.2.4, bits=64, commit=00000000, modified=0, pid=1, just started
cache         | 1:C 31 May 2025 02:43:37.297 # Warning: no config file specified, using the default config. In order to specify a config file use redis-server /path/to/redis.conf
cache         | 1:M 31 May 2025 02:43:37.297 * monotonic clock: POSIX clock_gettime
cache         | 1:M 31 May 2025 02:43:37.298 * Running mode=standalone, port=6379.
kafka         | 	authorizer.class.name = 
kafka         | 	auto.create.topics.enable = true
kafka         | 	auto.include.jmx.reporter = true
kafka         | 	auto.leader.rebalance.enable = true
kafka         | 	background.threads = 10
cache         | 1:M 31 May 2025 02:43:37.299 * Server initialized
cache         | 1:M 31 May 2025 02:43:37.299 * Loading RDB produced by version 7.2.4
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.334+00:00"},"s":"I",  "c":"RECOVERY", "id":23987,   "ctx":"initandlisten","msg":"WiredTiger recoveryTimestamp","attr":{"recoveryTimestamp":{"$timestamp":{"t":0,"i":0}}}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.343+00:00"},"s":"I",  "c":"STORAGE",  "id":22262,   "ctx":"initandlisten","msg":"Timestamp monitor starting"}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.352+00:00"},"s":"W",  "c":"CONTROL",  "id":22120,   "ctx":"initandlisten","msg":"Access control is not enabled for the database. Read and write access to data and configuration is unrestricted","tags":["startupWarnings"]}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.358+00:00"},"s":"I",  "c":"NETWORK",  "id":4915702, "ctx":"initandlisten","msg":"Updated wire specification","attr":{"oldSpec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":13},"incomingInternalClient":{"minWireVersion":0,"maxWireVersion":13},"outgoing":{"minWireVersion":0,"maxWireVersion":13},"isInternalClient":true},"newSpec":{"incomingExternalClient":{"minWireVersion":0,"maxWireVersion":13},"incomingInternalClient":{"minWireVersion":13,"maxWireVersion":13},"outgoing":{"minWireVersion":13,"maxWireVersion":13},"isInternalClient":true}}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.359+00:00"},"s":"I",  "c":"STORAGE",  "id":5071100, "ctx":"initandlisten","msg":"Clearing temp directory"}
cache         | 1:M 31 May 2025 02:43:37.299 * RDB age 66 seconds
cache         | 1:M 31 May 2025 02:43:37.299 * RDB memory usage when created 0.86 Mb
cache         | 1:M 31 May 2025 02:43:37.299 * Done loading RDB, keys loaded: 28, keys expired: 0.
cache         | 1:M 31 May 2025 02:43:37.300 * DB loaded from disk: 0.000 seconds
cache         | 1:M 31 May 2025 02:43:37.300 * Ready to accept connections tcp
cache         | 1:signal-handler (1748659911) Received SIGTERM scheduling shutdown...
kafka         | 	broker.heartbeat.interval.ms = 2000
kafka         | 	broker.id = 1
kafka         | 	broker.id.generation.enable = true
cache         | 1:M 31 May 2025 02:51:51.992 * User requested shutdown...
cache         | 1:M 31 May 2025 02:51:51.992 * Saving the final RDB snapshot before exiting.
cache         | 1:M 31 May 2025 02:51:52.002 * DB saved on disk
kafka         | 	broker.rack = null
cache         | 1:M 31 May 2025 02:51:52.002 # Redis is now ready to exit, bye bye...
kafka         | 	broker.session.timeout.ms = 9000
cache         | 1:C 31 May 2025 02:52:05.872 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
cache         | 1:C 31 May 2025 02:52:05.872 * Redis version=7.2.4, bits=64, commit=00000000, modified=0, pid=1, just started
cache         | 1:C 31 May 2025 02:52:05.872 # Warning: no config file specified, using the default config. In order to specify a config file use redis-server /path/to/redis.conf
cache         | 1:M 31 May 2025 02:52:05.873 * monotonic clock: POSIX clock_gettime
cache         | 1:M 31 May 2025 02:52:05.874 * Running mode=standalone, port=6379.
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.361+00:00"},"s":"I",  "c":"CONTROL",  "id":20536,   "ctx":"initandlisten","msg":"Flow Control is enabled on this deployment"}
kafka         | 	client.quota.callback.class = null
kafka         | 	compression.type = producer
kafka         | 	connection.failed.authentication.delay.ms = 100
kafka         | 	connections.max.idle.ms = 600000
kafka         | 	connections.max.reauth.ms = 0
kafka         | 	control.plane.listener.name = null
kafka         | 	controlled.shutdown.enable = true
kafka         | 	controlled.shutdown.max.retries = 3
kafka         | 	controlled.shutdown.retry.backoff.ms = 5000
kafka         | 	controller.listener.names = CONTROLLER
kafka         | 	controller.quorum.append.linger.ms = 25
kafka         | 	controller.quorum.election.backoff.max.ms = 1000
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.363+00:00"},"s":"I",  "c":"FTDC",     "id":20625,   "ctx":"initandlisten","msg":"Initializing full-time diagnostic data capture","attr":{"dataDirectory":"/data/db/diagnostic.data"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.370+00:00"},"s":"I",  "c":"REPL",     "id":6015317, "ctx":"initandlisten","msg":"Setting new configuration state","attr":{"newState":"ConfigReplicationDisabled","oldState":"ConfigPreStart"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.372+00:00"},"s":"I",  "c":"NETWORK",  "id":23015,   "ctx":"listener","msg":"Listening on","attr":{"address":"/tmp/mongodb-27017.sock"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.372+00:00"},"s":"I",  "c":"NETWORK",  "id":23015,   "ctx":"listener","msg":"Listening on","attr":{"address":"0.0.0.0"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:49.372+00:00"},"s":"I",  "c":"NETWORK",  "id":23016,   "ctx":"listener","msg":"Waiting for connections","attr":{"port":27017,"ssl":"off"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:52.783+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:45900","uuid":"da6d83c9-f59b-4f87-b065-5e62e540168e","connectionId":1,"connectionCount":1}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:52.788+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn1","msg":"client metadata","attr":{"remote":"127.0.0.1:45900","client":"conn1","negotiatedCompressors":[],"doc":{"application":{"name":"MongoDB Shell"},"driver":{"name":"MongoDB Internal Client","version":"5.0.31"},"os":{"type":"Linux","name":"Ubuntu","architecture":"x86_64","version":"20.04"}}}}
mongo_db      | {"t":{"$date":"2025-05-31T03:06:52.804+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn1","msg":"Connection ended","attr":{"remote":"127.0.0.1:45900","uuid":"da6d83c9-f59b-4f87-b065-5e62e540168e","connectionId":1,"connectionCount":0}}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:02.961+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:41844","uuid":"36a8076f-252f-4715-8f69-2f8925d133cb","connectionId":2,"connectionCount":1}}
cache         | 1:M 31 May 2025 02:52:05.875 * Server initialized
cache         | 1:M 31 May 2025 02:52:05.875 * Loading RDB produced by version 7.2.4
cache         | 1:M 31 May 2025 02:52:05.875 * RDB age 14 seconds
cache         | 1:M 31 May 2025 02:52:05.875 * RDB memory usage when created 0.86 Mb
cache         | 1:M 31 May 2025 02:52:05.875 * Done loading RDB, keys loaded: 28, keys expired: 0.
cache         | 1:M 31 May 2025 02:52:05.875 * DB loaded from disk: 0.000 seconds
kafka         | 	controller.quorum.election.timeout.ms = 1000
cache         | 1:M 31 May 2025 02:52:05.875 * Ready to accept connections tcp
cache         | 1:signal-handler (1748659998) Received SIGTERM scheduling shutdown...
kafka         | 	controller.quorum.fetch.timeout.ms = 2000
kafka         | 	controller.quorum.request.timeout.ms = 2000
kafka         | 	controller.quorum.retry.backoff.ms = 20
kafka         | 	controller.quorum.voters = [1@kafka:9093]
cache         | 1:M 31 May 2025 02:53:18.848 * User requested shutdown...
cache         | 1:M 31 May 2025 02:53:18.848 * Saving the final RDB snapshot before exiting.
cache         | 1:M 31 May 2025 02:53:18.867 * DB saved on disk
cache         | 1:M 31 May 2025 02:53:18.867 # Redis is now ready to exit, bye bye...
cache         | 1:C 31 May 2025 02:55:52.896 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
mongo_db      | {"t":{"$date":"2025-05-31T03:07:02.961+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn2","msg":"client metadata","attr":{"remote":"127.0.0.1:41844","client":"conn2","negotiatedCompressors":[],"doc":{"application":{"name":"MongoDB Shell"},"driver":{"name":"MongoDB Internal Client","version":"5.0.31"},"os":{"type":"Linux","name":"Ubuntu","architecture":"x86_64","version":"20.04"}}}}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:02.967+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn2","msg":"Connection ended","attr":{"remote":"127.0.0.1:41844","uuid":"36a8076f-252f-4715-8f69-2f8925d133cb","connectionId":2,"connectionCount":0}}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:13.119+00:00"},"s":"I",  "c":"NETWORK",  "id":22943,   "ctx":"listener","msg":"Connection accepted","attr":{"remote":"127.0.0.1:51320","uuid":"4f3d8de0-f67f-4f95-8bac-f9142ae08d2c","connectionId":3,"connectionCount":1}}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:13.120+00:00"},"s":"I",  "c":"NETWORK",  "id":51800,   "ctx":"conn3","msg":"client metadata","attr":{"remote":"127.0.0.1:51320","client":"conn3","negotiatedCompressors":[],"doc":{"application":{"name":"MongoDB Shell"},"driver":{"name":"MongoDB Internal Client","version":"5.0.31"},"os":{"type":"Linux","name":"Ubuntu","architecture":"x86_64","version":"20.04"}}}}
kafka         | 	controller.quota.window.num = 11
kafka         | 	controller.quota.window.size.seconds = 1
kafka         | 	controller.socket.timeout.ms = 30000
mongo_db      | {"t":{"$date":"2025-05-31T03:07:13.124+00:00"},"s":"I",  "c":"NETWORK",  "id":22944,   "ctx":"conn3","msg":"Connection ended","attr":{"remote":"127.0.0.1:51320","uuid":"4f3d8de0-f67f-4f95-8bac-f9142ae08d2c","connectionId":3,"connectionCount":0}}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.377+00:00"},"s":"I",  "c":"CONTROL",  "id":23377,   "ctx":"SignalHandler","msg":"Received signal","attr":{"signal":15,"error":"Terminated"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.377+00:00"},"s":"I",  "c":"CONTROL",  "id":23378,   "ctx":"SignalHandler","msg":"Signal was sent by kill(2)","attr":{"pid":0,"uid":0}}
kafka         | 	create.topic.policy.class.name = null
kafka         | 	default.replication.factor = 1
kafka         | 	delegation.token.expiry.check.interval.ms = 3600000
kafka         | 	delegation.token.expiry.time.ms = 86400000
kafka         | 	delegation.token.master.key = null
kafka         | 	delegation.token.max.lifetime.ms = 604800000
kafka         | 	delegation.token.secret.key = null
kafka         | 	delete.records.purgatory.purge.interval.requests = 1
kafka         | 	delete.topic.enable = true
kafka         | 	early.start.listeners = null
cache         | 1:C 31 May 2025 02:55:52.896 * Redis version=7.2.4, bits=64, commit=00000000, modified=0, pid=1, just started
cache         | 1:C 31 May 2025 02:55:52.896 # Warning: no config file specified, using the default config. In order to specify a config file use redis-server /path/to/redis.conf
cache         | 1:M 31 May 2025 02:55:52.897 * monotonic clock: POSIX clock_gettime
cache         | 1:M 31 May 2025 02:55:52.900 * Running mode=standalone, port=6379.
cache         | 1:M 31 May 2025 02:55:52.901 * Server initialized
cache         | 1:M 31 May 2025 02:55:52.901 * Loading RDB produced by version 7.2.4
cache         | 1:M 31 May 2025 02:55:52.902 * RDB age 154 seconds
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.377+00:00"},"s":"I",  "c":"CONTROL",  "id":23381,   "ctx":"SignalHandler","msg":"will terminate after current cmd ends"}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.377+00:00"},"s":"I",  "c":"REPL",     "id":4784900, "ctx":"SignalHandler","msg":"Stepping down the ReplicationCoordinator for shutdown","attr":{"waitTimeMillis":15000}}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.377+00:00"},"s":"I",  "c":"REPL",     "id":4794602, "ctx":"SignalHandler","msg":"Attempting to enter quiesce mode"}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.377+00:00"},"s":"I",  "c":"COMMAND",  "id":4784901, "ctx":"SignalHandler","msg":"Shutting down the MirrorMaestro"}
cache         | 1:M 31 May 2025 02:55:52.902 * RDB memory usage when created 0.86 Mb
cache         | 1:M 31 May 2025 02:55:52.902 * Done loading RDB, keys loaded: 28, keys expired: 0.
cache         | 1:M 31 May 2025 02:55:52.903 * DB loaded from disk: 0.002 seconds
cache         | 1:M 31 May 2025 02:55:52.903 * Ready to accept connections tcp
kafka         | 	fetch.max.bytes = 57671680
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.377+00:00"},"s":"I",  "c":"SHARDING", "id":4784902, "ctx":"SignalHandler","msg":"Shutting down the WaitForMajorityService"}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.378+00:00"},"s":"I",  "c":"CONTROL",  "id":4784903, "ctx":"SignalHandler","msg":"Shutting down the LogicalSessionCache"}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.378+00:00"},"s":"I",  "c":"NETWORK",  "id":20562,   "ctx":"SignalHandler","msg":"Shutdown: going to close listening sockets"}
kafka         | 	fetch.purgatory.purge.interval.requests = 1000
kafka         | 	group.consumer.assignors = []
kafka         | 	group.consumer.heartbeat.interval.ms = 5000
kafka         | 	group.consumer.max.heartbeat.interval.ms = 15000
kafka         | 	group.consumer.max.session.timeout.ms = 60000
cache         | 1:signal-handler (1748660839) Received SIGTERM scheduling shutdown...
cache         | 1:M 31 May 2025 03:07:19.426 * User requested shutdown...
kafka         | 	group.consumer.max.size = 2147483647
kafka         | 	group.consumer.min.heartbeat.interval.ms = 5000
kafka         | 	group.consumer.min.session.timeout.ms = 45000
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.378+00:00"},"s":"I",  "c":"NETWORK",  "id":23017,   "ctx":"listener","msg":"removing socket file","attr":{"path":"/tmp/mongodb-27017.sock"}}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.378+00:00"},"s":"I",  "c":"NETWORK",  "id":4784905, "ctx":"SignalHandler","msg":"Shutting down the global connection pool"}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.379+00:00"},"s":"I",  "c":"CONTROL",  "id":4784906, "ctx":"SignalHandler","msg":"Shutting down the FlowControlTicketholder"}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.379+00:00"},"s":"I",  "c":"-",        "id":20520,   "ctx":"SignalHandler","msg":"Stopping further Flow Control ticket acquisitions."}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.379+00:00"},"s":"I",  "c":"CONTROL",  "id":4784908, "ctx":"SignalHandler","msg":"Shutting down the PeriodicThreadToAbortExpiredTransactions"}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.379+00:00"},"s":"I",  "c":"REPL",     "id":4784909, "ctx":"SignalHandler","msg":"Shutting down the ReplicationCoordinator"}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.379+00:00"},"s":"I",  "c":"SHARDING", "id":4784910, "ctx":"SignalHandler","msg":"Shutting down the ShardingInitializationMongoD"}
cache         | 1:M 31 May 2025 03:07:19.426 * Saving the final RDB snapshot before exiting.
cache         | 1:M 31 May 2025 03:07:19.438 * DB saved on disk
kafka         | 	group.consumer.session.timeout.ms = 45000
kafka         | 	group.coordinator.new.enable = false
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.379+00:00"},"s":"I",  "c":"REPL",     "id":4784911, "ctx":"SignalHandler","msg":"Enqueuing the ReplicationStateTransitionLock for shutdown"}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.379+00:00"},"s":"I",  "c":"-",        "id":4784912, "ctx":"SignalHandler","msg":"Killing all operations for shutdown"}
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.379+00:00"},"s":"I",  "c":"-",        "id":4695300, "ctx":"SignalHandler","msg":"Interrupted all currently running operations","attr":{"opsKilled":3}}
kafka         | 	group.coordinator.threads = 1
kafka         | 	group.initial.rebalance.delay.ms = 3000
cache         | 1:M 31 May 2025 03:07:19.438 # Redis is now ready to exit, bye bye...
kafka         | 	group.max.session.timeout.ms = 1800000
kafka         | 	group.max.size = 2147483647
kafka         | 	group.min.session.timeout.ms = 6000
kafka         | 	initial.broker.registration.timeout.ms = 60000
mongo_db      | {"t":{"$date":"2025-05-31T03:07:19.379+00:00"},"s":"I",  "c":"TENANT_M", "id":5093807, "ctx":"SignalHandler","msg":"Shutting down all TenantMigrationAccessBlockers on global shutdown"}
kafka         | 	inter.broker.listener.name = PLAINTEXT
kafka         | 	inter.broker.protocol.version = 3.5-IV2
kafka         | 	kafka.metrics.polling.interval.secs = 10
kafka         | 	kafka.metrics.reporters = []
kafka         | 	leader.imbalance.check.interval.seconds = 300
